id,algo,size,time_us,heap_delta,heap_peak_used,stack_peak_used,stack_used,current_before,current_after,power_before,power_after,power_delta,iteration,current_before_corr,current_after_corr,power_before_corr,power_after_corr,power_delta_corr,time_s,power_mW,mem_total
501,AES-128-GCM,16,1738,4444,2844,0,752,117.6,120,550,560,10,4,123.3,125.7,576.3284101,587.5464813,11.21807124,0.001738,11.21807124,3596
601,AES-128-GCM,16,1738,4444,2616,0,752,114.8,120.5,538,564,26,5,120.5,126.2,563.2406603,589.8835795,26.6429192,0.001738,26.6429192,3368
701,AES-128-GCM,16,1739,4444,2632,0,752,116.8,120,544,560,16,6,122.5,125.7,572.589053,587.5464813,14.95742832,0.001739,14.95742832,3384
901,AES-128-GCM,16,1738,4444,2860,0,752,114.9,120.4,538,564,26,8,120.6,126.1,563.7080799,589.4161599,25.70807993,0.001738,25.70807993,3612
1001,AES-128-GCM,16,1738,4444,2860,0,752,117.2,121.7,548,566,18,9,122.9,127.4,574.4587315,595.4926151,21.03388358,0.001738,21.03388358,3612
1101,AES-128-GCM,16,1738,4444,2616,0,752,117,120,548,560,12,10,122.7,125.7,573.5238923,587.5464813,14.02258905,0.001738,14.02258905,3368
1301,AES-128-GCM,16,1738,4444,2860,0,752,114.2,120.4,534,560,26,12,119.9,126.1,560.4361425,589.4161599,28.98001738,0.001738,28.98001738,3612
1401,AES-128-GCM,16,1739,4444,2860,0,752,110.5,118.3,518,554,36,13,116.2,124,543.141616,579.6003475,36.45873154,0.001739,36.45873154,3612
201,AES-128-GCM,16,1738,4444,2844,0,752,116.3,119.8,544,560,16,17,122,125.5,570.2519548,586.6116421,16.35968723,0.001738,16.35968723,3596
301,AES-128-GCM,16,1737,4444,2616,0,752,117,120.9,548,564,16,18,122.7,126.6,573.5238923,591.753258,18.22936577,0.001737,18.22936577,3368
401,AES-128-GCM,16,1739,4444,2616,0,752,114.8,118.3,538,554,16,19,120.5,124,563.2406603,579.6003475,16.35968723,0.001739,16.35968723,3368
501,AES-128-GCM,16,1739,4444,2864,0,752,117.6,117.4,550,548,-2,20,123.3,123.1,576.3284101,575.3935708,-0.93483927,0.001739,-0.93483927,3616
101,AES-128-GCM,16,1739,4444,2664,0,752,112.7,120.5,528,564,36,23,118.4,126.2,553.424848,589.8835795,36.45873154,0.001739,36.45873154,3416
801,AES-128-GCM,16,1737,4444,2860,0,752,110.7,119.8,518,560,42,30,116.4,125.5,544.0764553,586.6116421,42.53518679,0.001737,42.53518679,3612
901,AES-128-GCM,16,1739,4444,2860,0,752,113.5,117.4,530,548,18,31,119.2,123.1,557.164205,575.3935708,18.22936577,0.001739,18.22936577,3612
1101,AES-128-GCM,16,1738,4444,3052,0,752,118.9,119.8,558,560,2,33,124.6,125.5,582.4048653,586.6116421,4.206776716,0.001738,4.206776716,3804
1301,AES-128-GCM,16,1739,4444,2860,0,752,112.2,119,524,554,30,35,117.9,124.7,551.0877498,582.872285,31.78453519,0.001739,31.78453519,3612
1801,AES-128-GCM,16,1738,4444,2540,0,752,114,118.1,534,550,16,40,119.7,123.8,559.5013032,578.6655083,19.16420504,0.001738,19.16420504,3292
1901,AES-128-GCM,16,1738,4444,2616,0,752,118.1,123.5,550,576,26,41,123.8,129.2,578.6655083,603.9061685,25.2406603,0.001738,25.2406603,3368
2001,AES-128-GCM,16,1739,4444,2860,0,752,114.4,118.7,534,554,20,42,120.1,124.4,561.3709818,581.4700261,20.09904431,0.001739,20.09904431,3612
2201,AES-128-GCM,16,1738,4444,2636,0,752,114.6,119.4,538,558,20,44,120.3,125.1,562.305821,584.7419635,22.43614248,0.001738,22.43614248,3388
2301,AES-128-GCM,16,1738,4444,2640,0,752,115.1,118.9,538,554,16,45,120.8,124.6,564.6429192,582.4048653,17.76194613,0.001738,17.76194613,3392
2401,AES-128-GCM,16,1738,4444,2860,0,752,114.6,120.2,534,560,26,46,120.3,125.9,562.305821,588.4813206,26.17549957,0.001738,26.17549957,3612
2501,AES-128-GCM,16,1738,4444,1472,0,752,110.7,118.9,518,554,36,47,116.4,124.6,544.0764553,582.4048653,38.32841008,0.001738,38.32841008,2224
2601,AES-128-GCM,16,1738,4444,2860,0,752,116.3,119.6,544,558,14,48,122,125.3,570.2519548,585.6768028,15.42484796,0.001738,15.42484796,3612
2901,AES-128-GCM,16,1737,4444,2824,0,752,117.7,118.7,550,554,4,51,123.4,124.4,576.7958297,581.4700261,4.674196351,0.001737,4.674196351,3576
3001,AES-128-GCM,16,1738,4444,2860,0,752,114.8,120,538,560,22,52,120.5,125.7,563.2406603,587.5464813,24.30582103,0.001738,24.30582103,3612
3101,AES-128-GCM,16,1738,4444,2816,0,752,114.8,120.2,538,560,22,53,120.5,125.9,563.2406603,588.4813206,25.2406603,0.001738,25.2406603,3568
3201,AES-128-GCM,16,1738,4444,2844,0,752,116.3,119.6,544,558,14,54,122,125.3,570.2519548,585.6768028,15.42484796,0.001738,15.42484796,3596
3301,AES-128-GCM,16,1738,4444,2636,0,752,117.6,120.2,550,560,10,55,123.3,125.9,576.3284101,588.4813206,12.15291051,0.001738,12.15291051,3388
3401,AES-128-GCM,16,1738,4444,2860,0,752,111.8,120.4,522,560,38,56,117.5,126.1,549.2180712,589.4161599,40.19808862,0.001738,40.19808862,3612
3501,AES-128-GCM,16,1739,4444,2636,0,752,113.6,119.4,530,558,28,57,119.3,125.1,557.6316247,584.7419635,27.11033884,0.001739,27.11033884,3388
3601,AES-128-GCM,16,1739,4444,2628,0,752,113.5,119.8,530,560,30,58,119.2,125.5,557.164205,586.6116421,29.44743701,0.001739,29.44743701,3380
3801,AES-128-GCM,16,1738,4444,2636,0,752,117,120,548,560,12,60,122.7,125.7,573.5238923,587.5464813,14.02258905,0.001738,14.02258905,3388
3901,AES-128-GCM,16,1738,4444,2628,0,752,111.8,119.4,522,558,36,61,117.5,125.1,549.2180712,584.7419635,35.52389227,0.001738,35.52389227,3380
4001,AES-128-GCM,16,1739,4444,2620,0,752,110.3,119.2,560,558,-2,62,116,124.9,542.2067767,583.8071242,41.60034752,0.001739,41.60034752,3372
4201,AES-128-GCM,16,1738,4444,2624,0,752,117,120,548,560,12,64,122.7,125.7,573.5238923,587.5464813,14.02258905,0.001738,14.02258905,3376
4301,AES-128-GCM,16,1738,4444,2636,0,752,116.6,118.7,544,554,10,65,122.3,124.4,571.6542137,581.4700261,9.815812337,0.001738,9.815812337,3388
4401,AES-128-GCM,16,1738,4444,2860,0,752,114.9,119.2,538,558,20,66,120.6,124.9,563.7080799,583.8071242,20.09904431,0.001738,20.09904431,3612
4501,AES-128-GCM,16,1737,4444,2652,0,752,117.6,119.4,550,558,8,67,123.3,125.1,576.3284101,584.7419635,8.413553432,0.001737,8.413553432,3404
4601,AES-128-GCM,16,1738,4444,2632,0,752,117,119.8,548,560,12,68,122.7,125.5,573.5238923,586.6116421,13.08774978,0.001738,13.08774978,3384
101,AES-128-GCM,16,1737,4444,2860,0,752,114.4,119.8,534,560,26,71,120.1,125.5,561.3709818,586.6116421,25.2406603,0.001737,25.2406603,3612
201,AES-128-GCM,16,1738,4444,2632,0,752,115.7,119.6,540,558,18,72,121.4,125.3,567.447437,585.6768028,18.22936577,0.001738,18.22936577,3384
401,AES-128-GCM,16,1738,4444,2652,0,752,115.9,119.8,540,560,20,74,121.6,125.5,568.3822763,586.6116421,18.22936577,0.001738,18.22936577,3404
501,AES-128-GCM,16,1739,4444,2632,0,752,117.2,119.8,548,560,12,75,122.9,125.5,574.4587315,586.6116421,12.15291051,0.001739,12.15291051,3384
601,AES-128-GCM,16,1737,4444,1400,0,752,112.2,120.2,524,560,36,76,117.9,125.9,551.0877498,588.4813206,37.39357081,0.001737,37.39357081,2152
701,AES-128-GCM,16,1738,4444,2624,0,752,116.3,120.5,544,564,20,77,122,126.2,570.2519548,589.8835795,19.63162467,0.001738,19.63162467,3376
801,AES-128-GCM,16,1739,4444,2844,0,752,110.7,120,518,560,42,78,116.4,125.7,544.0764553,587.5464813,43.47002606,0.001739,43.47002606,3596
1001,AES-128-GCM,16,1738,4444,2852,0,752,115.5,120,540,560,20,80,121.2,125.7,566.5125977,587.5464813,21.03388358,0.001738,21.03388358,3604
1101,AES-128-GCM,16,1738,4444,2636,0,752,111.8,120.4,522,564,42,81,117.5,126.1,549.2180712,589.4161599,40.19808862,0.001738,40.19808862,3388
1201,AES-128-GCM,16,1737,4444,2844,0,752,112,119.8,524,560,36,82,117.7,125.5,550.1529105,586.6116421,36.45873154,0.001737,36.45873154,3596
1301,AES-128-GCM,16,1737,4444,2616,0,752,118.5,120.2,554,560,6,83,124.2,125.9,580.5351868,588.4813206,7.946133797,0.001737,7.946133797,3368
1401,AES-128-GCM,16,1739,4444,2860,0,752,115.3,119.4,538,558,20,84,121,125.1,565.5777585,584.7419635,19.16420504,0.001739,19.16420504,3612
1501,AES-128-GCM,16,1739,4444,2636,0,752,117.7,119.4,550,558,8,85,123.4,125.1,576.7958297,584.7419635,7.946133797,0.001739,7.946133797,3388
1601,AES-128-GCM,16,1739,4444,2860,0,752,114.9,119.8,538,560,22,86,120.6,125.5,563.7080799,586.6116421,22.90356212,0.001739,22.90356212,3612
1701,AES-128-GCM,16,1739,4444,2620,0,752,112.3,120.9,524,564,40,87,118,126.6,551.5551694,591.753258,40.19808862,0.001739,40.19808862,3372
1801,AES-128-GCM,16,1739,4444,2620,0,752,117.7,120.5,550,564,14,88,123.4,126.2,576.7958297,589.8835795,13.08774978,0.001739,13.08774978,3372
1901,AES-128-GCM,16,1738,4444,2636,0,752,115.3,120.2,538,560,22,89,121,125.9,565.5777585,588.4813206,22.90356212,0.001738,22.90356212,3388
2001,AES-128-GCM,16,1737,4444,2636,0,752,112.7,120.9,528,564,36,90,118.4,126.6,553.424848,591.753258,38.32841008,0.001737,38.32841008,3388
2101,AES-128-GCM,16,1738,4444,2620,0,752,115.9,121.3,540,566,26,91,121.6,127,568.3822763,593.6229366,25.2406603,0.001738,25.2406603,3372
2201,AES-128-GCM,16,1739,4444,2636,0,752,118.3,118.3,550,550,0,92,124,124,579.6003475,579.6003475,0,0.001739,0,3388
2301,AES-128-GCM,16,1739,4444,2840,0,752,118.9,118.1,554,550,-4,93,124.6,123.8,582.4048653,578.6655083,-3.739357081,0.001739,-3.739357081,3592
2501,AES-128-GCM,16,1742,4444,2860,0,752,116.1,121.3,544,566,22,101,121.8,127,569.3171156,593.6229366,24.30582103,0.001742,24.30582103,3612
2601,AES-128-GCM,16,1742,4444,2860,0,752,112.7,119.2,528,558,30,102,118.4,124.9,553.424848,583.8071242,30.38227628,0.001742,30.38227628,3612
2701,AES-128-GCM,16,1742,4444,2652,0,752,117.9,122.2,550,570,20,103,123.6,127.9,577.730669,597.8297133,20.09904431,0.001742,20.09904431,3404
2801,AES-128-GCM,16,1740,4444,2844,0,752,117.7,120,550,560,10,104,123.4,125.7,576.7958297,587.5464813,10.75065161,0.00174,10.75065161,3596
2901,AES-128-GCM,16,1742,4444,2860,0,752,117.4,119.2,548,558,10,105,123.1,124.9,575.3935708,583.8071242,8.413553432,0.001742,8.413553432,3612
3001,AES-128-GCM,16,1742,4444,2636,0,752,116.3,120,544,560,16,106,122,125.7,570.2519548,587.5464813,17.2945265,0.001742,17.2945265,3388
3101,AES-128-GCM,16,1740,4444,2616,0,752,114.8,117,538,548,10,107,120.5,122.7,563.2406603,573.5238923,10.28323197,0.00174,10.28323197,3368
3201,AES-128-GCM,16,1742,4444,2844,0,752,116.6,121.1,544,566,22,108,122.3,126.8,571.6542137,592.6880973,21.03388358,0.001742,21.03388358,3596
3301,AES-128-GCM,16,1741,4444,2636,0,752,112.5,120,524,560,36,109,118.2,125.7,552.4900087,587.5464813,35.05647263,0.001741,35.05647263,3388
3501,AES-128-GCM,16,1742,4444,2620,0,752,114.9,119.6,538,560,22,111,120.6,125.3,563.7080799,585.6768028,21.96872285,0.001742,21.96872285,3372
3601,AES-128-GCM,16,1741,4444,2860,0,752,117,119.6,548,558,10,112,122.7,125.3,573.5238923,585.6768028,12.15291051,0.001741,12.15291051,3612
3701,AES-128-GCM,16,1741,4444,2824,0,752,114,118.9,534,554,20,113,119.7,124.6,559.5013032,582.4048653,22.90356212,0.001741,22.90356212,3576
3801,AES-128-GCM,16,1742,4444,2840,0,752,114,119.6,530,558,28,114,119.7,125.3,559.5013032,585.6768028,26.17549957,0.001742,26.17549957,3592
3901,AES-128-GCM,16,1741,4444,2620,0,752,114.6,118.3,534,554,20,115,120.3,124,562.305821,579.6003475,17.2945265,0.001741,17.2945265,3372
4001,AES-128-GCM,16,1742,4444,2860,0,752,115.1,120,538,560,22,116,120.8,125.7,564.6429192,587.5464813,22.90356212,0.001742,22.90356212,3612
4101,AES-128-GCM,16,1740,4444,2644,0,752,114.4,119.4,534,558,24,117,120.1,125.1,561.3709818,584.7419635,23.37098175,0.00174,23.37098175,3396
