size,n_time,mean_time,median_time,std_time,ci95_low_time,ci95_high_time,throughput_Bps,n_power,mean_power,median_power,std_power,ci95_low_power,ci95_high_power,n_mem,mean_mem,median_mem,std_mem,ci95_low_mem,ci95_high_mem,energy_uJ,energy_per_byte_uJ,total_duty_cycle_energy_uJ,total_duty_cycle_energy_per_byte_uJ
16,540.0,1370.8537037037038,1370.0,2.1037304936630323,1370.6758685510536,1371.031538856354,11671.559085241555,540.0,20.33361971876307,20.099044309296232,14.29919968252335,19.12486205423443,21.54237738329171,540.0,2770.990740740741,2716.0,249.21032594183683,2749.924184692149,2792.057296789332,27.87441790116902,1.7421511188230638,1017.8744179011691,63.61715111882307
32,526.0,1389.8498098859316,1389.0,2.108998851176545,1389.669161566969,1390.030458204894,23024.07049480139,526.0,19.114441731937507,20.099044309296232,12.931938486164928,18.006744140186694,20.22213932368832,526.0,2781.98288973384,2716.0,216.0050653991932,2763.480768725096,2800.485010742585,26.56620320720906,0.8301938502252831,1016.566203207209,31.76769385022528
48,527.0,1409.0379506641366,1408.0,1.9738022727745592,1408.8690439618758,1409.2068573663971,34065.796437474,527.0,20.40326619703681,20.566463944396105,13.86027070239857,19.217183553869045,21.589348840204583,527.0,2755.104364326376,2716.0,251.9146200191556,2733.5469528745766,2776.6617757781746,28.74897638912761,0.5989370081068252,1018.7489763891276,21.223937008106827
64,534.0,1428.2846441947563,1428.0,2.132010159818748,1428.1034042030842,1428.4658841864289,44808.99536386331,534.0,19.823319243647443,20.099044309296232,13.756586172122136,18.653885996909302,20.992752490385584,534.0,2759.9194756554307,2716.0,253.28579745461423,2738.387910428132,2781.4510408827296,28.31334247267206,0.4423959761355009,1018.313342472672,15.9111459761355
80,525.0,1447.2419047619048,1447.0,1.9645124947572703,1447.0734716346433,1447.4103378891664,55277.55915356895,525.0,20.18540565140044,20.099044309296232,14.068676625879696,18.97918720949519,21.39162409330568,525.0,2780.405714285714,2716.0,224.15812210968988,2761.18687316926,2799.6245554021684,29.21316492332448,0.365164561541556,1019.2131649233245,12.740164561541556
96,523.0,1466.472275334608,1466.0,2.023022658054892,1466.2984928015862,1466.6460578676297,65463.22192016585,523.0,19.60213165706767,20.099044309296342,13.281157531852488,18.46124814389697,20.74301517023837,523.0,2773.774378585086,2716.0,231.56494656226604,2753.882390320695,2793.666366849477,28.745982612548577,0.2994373188807143,1018.7459826125486,10.611937318880715
112,523.0,1485.5391969407265,1485.0,2.19889665066304,1485.3503064069089,1485.728087474544,75393.5003739042,523.0,19.71474135883172,20.099044309296232,13.725231425098238,18.53571082555237,20.89377189211105,523.0,2766.7418738049714,2716.0,247.4385799905635,2745.486302085672,2787.997445524271,29.287021046092992,0.261491259340116,1019.287021046093,9.10077697362583
128,531.0,1504.6101694915253,1504.0,2.1484110340478195,1504.4270177298058,1504.7933212532448,85071.86950840356,531.0,19.73637596718484,20.099044309296232,13.650573077316825,18.572666384628253,20.90008554974143,531.0,2764.035781544256,2716.0,270.7640632775118,2740.953180303757,2787.118382784756,29.69555198913445,0.2319964999151129,1019.6955519891344,7.9663714999151125
144,531.0,1523.9265536723165,1523.0,2.0568044426999066,1523.7512113606158,1524.1018959840171,94492.74287726842,531.0,19.87897856772381,20.099044309296232,13.869419239233247,18.69661237827713,21.06134475717048,531.0,2767.832391713748,2716.0,259.6057173065169,2745.7010380185625,2789.963745408933,30.294103299237182,0.2103757173558137,1020.2941032992372,7.085375717355814
160,527.0,1543.136622390892,1542.0,2.134348453959603,1542.9539770652652,1543.3192677165189,103684.9217874828,527.0,20.531873117510223,21.03388357949609,14.014650059510537,19.3325795724874,21.731166662533045,527.0,2763.956356736243,2716.0,226.2605668234059,2744.594272336542,2783.318441135944,31.68348533391308,0.1980217833369567,1021.683485333913,6.385521783336957
176,528.0,1562.2594696969695,1562.0,2.1051363279445314,1562.079495638681,1562.4394437552585,112657.34240301234,528.0,19.86267869836506,20.099044309296232,14.06253309671367,18.660432973164845,21.06492442356528,528.0,2771.587121212121,2716.0,226.9298096450725,2752.1862499971016,2790.9879924271404,31.030657890069097,0.1763105561935744,1021.030657890069,5.801310556193574
192,535.0,1581.3364485981308,1581.0,2.104676108390387,1581.157700297622,1581.5151968986395,121416.28694526693,535.0,19.915571181500034,20.099044309296232,13.92619997402649,18.73283120171019,21.09831116128988,535.0,2782.164485981308,2716.0,214.95188698326425,2763.9088102807914,2800.420161681825,31.493218603956542,0.1640271802289403,1021.4932186039565,5.32027718022894
208,538.0,1600.704460966543,1600.0,2.1131887409548,1600.525493050856,1600.8834288822295,129942.78773634753,538.0,20.54474370112945,20.56646394439616,14.127458284143366,19.348276147586503,21.7412112546724,538.0,2795.708178438662,2716.0,186.17756078957177,2779.9406280270982,2811.4757288502256,32.88606289181219,0.1581060715952509,1022.8860628918122,4.917721456210636
224,534.0,1619.741573033708,1619.0,2.10971890156584,1619.562227998981,1619.920918068435,138293.66593366952,534.0,20.74415343114764,21.03388357949609,14.642348135350012,19.499422470606504,21.98888439168877,534.0,2759.2546816479403,2716.0,251.24055941042403,2737.896980003978,2780.6123832919025,33.60016770981967,0.1500007487045521,1023.6001677098196,4.569643605847409
240,537.0,1638.7541899441342,1638.0,2.2030986796356,1638.5674330393597,1638.9409468489089,146452.71479561052,537.0,19.647292371462267,20.099044309296232,13.952554061153531,18.46453290896188,20.830051833962653,537.0,2786.048417132216,2716.0,202.254470372687,2768.9032845910474,2803.1935496733845,32.19708269479121,0.1341545112282967,1022.1970826947912,4.259154511228297
256,519.0,1658.042389210019,1657.0,2.0264026732535334,1657.86764367612,1658.217134743919,154398.947617963,519.0,19.773921981220987,21.03388357949609,13.646990374327236,18.59708252549064,20.95076143695133,519.0,2788.221579961464,2716.0,185.75867351047563,2772.2027999788456,2804.2403599440827,32.78600084579617,0.1280703158038912,1022.7860008457961,3.995257815803891
272,536.0,1677.1473880597016,1676.0,2.107998272394432,1676.9685254541298,1677.3262506652734,162180.14107554246,536.0,19.68307571611966,20.099044309296232,13.817351931558417,18.510680273037494,20.855471159201823,536.0,2787.169776119403,2716.0,188.02353973910965,2771.216072235026,2803.1234800037805,33.011419026271426,0.1213655111259978,1023.0114190262714,3.761071393478939
288,533.0,1696.3658536585365,1696.0,2.1060504212957865,1696.1866518410664,1696.5450554760066,169774.69770384324,533.0,20.57874138321681,21.03388357949609,13.899566012887268,19.39604059582341,21.76144217061021,533.0,2770.838649155722,2716.0,211.93304785736376,2752.805468670577,2788.8718296408674,34.90907419375883,0.1212120631727737,1024.909074193759,3.558712063172774
