size,n_time_ascon,mean_time_ascon,median_time_ascon,std_time_ascon,ci95_low_time_ascon,ci95_high_time_ascon,throughput_Bps_ascon,n_power_ascon,mean_power_ascon,median_power_ascon,std_power_ascon,ci95_low_power_ascon,ci95_high_power_ascon,n_mem_ascon,mean_mem_ascon,median_mem_ascon,std_mem_ascon,ci95_low_mem_ascon,ci95_high_mem_ascon,energy_uJ_ascon,energy_per_byte_uJ_ascon,total_duty_cycle_energy_uJ_ascon,total_duty_cycle_energy_per_byte_uJ_ascon,n_time_aes,mean_time_aes,median_time_aes,std_time_aes,ci95_low_time_aes,ci95_high_time_aes,throughput_Bps_aes,n_power_aes,mean_power_aes,median_power_aes,std_power_aes,ci95_low_power_aes,ci95_high_power_aes,n_mem_aes,mean_mem_aes,median_mem_aes,std_mem_aes,ci95_low_mem_aes,ci95_high_mem_aes,energy_uJ_aes,energy_per_byte_uJ_aes,total_duty_cycle_energy_uJ_aes,total_duty_cycle_energy_per_byte_uJ_aes,ascon_minus_aes_energy,ascon_minus_aes_total_energy
16,540.0,1370.8537037037038,1370.0,2.1037304936630323,1370.6758685510536,1371.031538856354,11671.559085241555,540.0,20.33361971876307,20.099044309296232,14.29919968252335,19.12486205423443,21.54237738329171,540.0,2770.990740740741,2716.0,249.21032594183683,2749.924184692149,2792.057296789332,27.87441790116902,1.7421511188230638,1017.8744179011691,63.61715111882307,482.0,1740.8070539419086,1741.0,1.3049211322242371,1740.690264656213,1740.9238432276045,9191.139226928894,482.0,24.20011824464384,22.436142484795823,10.870302087712384,23.22723583453572,25.17300065475196,482.0,3463.2033195020745,3388.0,179.56055201315752,3447.1328091157648,3479.273829888384,42.12773654650427,2.632983534156517,1032.1277365465044,64.50798353415652,-0.8908324153334533,-0.8908324153334561
32,526.0,1389.8498098859316,1389.0,2.108998851176545,1389.669161566969,1390.030458204894,23024.07049480139,526.0,19.114441731937507,20.099044309296232,12.931938486164928,18.006744140186694,20.22213932368832,526.0,2781.98288973384,2716.0,216.0050653991932,2763.480768725096,2800.485010742585,26.56620320720906,0.8301938502252831,1016.566203207209,31.76769385022528,420.0,1755.6571428571428,1756.0,0.7886857613395771,1755.58149724472,1755.7327884695658,18226.79338627783,420.0,25.82048322369782,23.370981754995626,11.7125389425796,24.69709261013593,26.94387383725971,420.0,3441.2,3388.0,197.26726839239603,3422.279405689796,3460.120594310204,45.33191580370811,1.4166223688658783,1035.3319158037082,32.35412236886588,-0.5864285186405952,-0.5864285186405986
48,527.0,1409.0379506641366,1408.0,1.9738022727745592,1408.8690439618758,1409.2068573663971,34065.796437474,527.0,20.40326619703681,20.566463944396105,13.86027070239857,19.217183553869045,21.589348840204583,527.0,2755.104364326376,2716.0,251.9146200191556,2733.5469528745766,2776.6617757781746,28.74897638912761,0.5989370081068252,1018.7489763891276,21.223937008106827,476.0,1769.672268907563,1770.0,1.2870807029699192,1769.556348900798,1769.788188914328,27123.6662535436,476.0,25.38501047682322,23.37098175499568,11.295779235246606,24.367664165636256,26.40235678801018,476.0,3451.8571428571427,3388.0,180.24548339893093,3435.6234617781224,3468.090823936163,44.923149086762,0.9358989393075418,1034.923149086762,21.56089893930754,-0.3369619312007166,-0.3369619312007117
64,534.0,1428.2846441947563,1428.0,2.132010159818748,1428.1034042030842,1428.4658841864289,44808.99536386331,534.0,19.823319243647443,20.099044309296232,13.756586172122136,18.653885996909302,20.992752490385584,534.0,2759.9194756554307,2716.0,253.28579745461423,2738.387910428132,2781.4510408827296,28.31334247267206,0.4423959761355009,1018.313342472672,15.9111459761355,408.0,1784.453431372549,1784.0,0.797901418354034,1784.3757779436155,1784.5310848014824,35865.32373152102,408.0,25.96470247525596,23.37098175499568,10.66779410905043,24.926490519907425,27.00291443060449,408.0,3448.1176470588234,3388.0,237.7959108480877,3424.974853426724,3471.2604406909227,46.33280242653781,0.7239500379146533,1036.332802426538,16.192700037914655,-0.2815540617791524,-0.2815540617791541
80,525.0,1447.2419047619048,1447.0,1.9645124947572703,1447.0734716346433,1447.4103378891664,55277.55915356895,525.0,20.18540565140044,20.099044309296232,14.068676625879696,18.97918720949519,21.39162409330568,525.0,2780.405714285714,2716.0,224.15812210968988,2761.18687316926,2799.6245554021684,29.21316492332448,0.365164561541556,1019.2131649233245,12.740164561541556,416.0,1798.8557692307693,1799.0,0.8605772143148812,1798.7728300594597,1798.9387084020789,44472.71502718073,416.0,25.87212624473701,22.90356211989581,11.058995889992431,24.8063021218402,26.93795036763383,416.0,3450.3653846153848,3388.0,204.35532757264147,3430.6703924175395,3470.06037681323,46.54022355761197,0.5817527944701497,1036.540223557612,12.956752794470152,-0.2165882329285937,-0.2165882329285953
96,523.0,1466.472275334608,1466.0,2.023022658054892,1466.2984928015862,1466.6460578676297,65463.22192016585,523.0,19.60213165706767,20.099044309296342,13.281157531852488,18.46124814389697,20.74301517023837,523.0,2773.774378585086,2716.0,231.56494656226604,2753.882390320695,2793.666366849477,28.745982612548577,0.2994373188807143,1018.7459826125486,10.611937318880715,487.0,1812.811088295688,1813.0,1.3763284814664154,1812.68854526886,1812.933631322516,52956.42806899107,487.0,24.527533418846573,22.903562119895696,10.832621135427756,23.563038241790192,25.492028595902955,487.0,3451.6960985626283,3388.0,199.40489147978377,3433.941849271595,3469.4503478536617,44.46378455022811,0.4631644223982095,1034.4637845502282,10.77566442239821,-0.1637271035174952,-0.16372710351749475
112,523.0,1485.5391969407265,1485.0,2.19889665066304,1485.3503064069089,1485.728087474544,75393.5003739042,523.0,19.71474135883172,20.099044309296232,13.725231425098238,18.53571082555237,20.89377189211105,523.0,2766.7418738049714,2716.0,247.4385799905635,2745.486302085672,2787.997445524271,29.287021046092992,0.261491259340116,1019.287021046093,9.10077697362583,414.0,1827.6618357487923,1828.0,0.8360187632296038,1827.5810678993423,1827.742603598242,61280.48296971394,414.0,25.256466756485644,22.90356211989581,10.55961778932632,24.23630111264314,26.276632400328147,414.0,3459.613526570048,3388.0,182.9669002750221,3441.937077540841,3477.289975599256,46.1602803966869,0.4121453606847045,1036.1602803966869,9.251431074970418,-0.15065410134458845,-0.15065410134458723
128,531.0,1504.6101694915253,1504.0,2.1484110340478195,1504.4270177298058,1504.7933212532448,85071.86950840356,531.0,19.73637596718484,20.099044309296232,13.650573077316825,18.572666384628253,20.90008554974143,531.0,2764.035781544256,2716.0,270.7640632775118,2740.953180303757,2787.118382784756,29.69555198913445,0.2319964999151129,1019.6955519891344,7.9663714999151125,475.0,1841.6421052631576,1842.0,1.3416076812283426,1841.5211465474893,1841.7630639788265,69503.18937332815,475.0,25.14127212035301,23.37098175499557,10.36461256098672,24.2068035411088,26.07574069959723,475.0,3460.3115789473686,3388.0,153.98307955647516,3446.4285371323363,3474.194620762401,46.30122531672087,0.3617283227868818,1036.3012253167208,8.096103322786881,-0.12973182287176888,-0.12973182287176854
144,531.0,1523.9265536723165,1523.0,2.0568044426999066,1523.7512113606158,1524.1018959840171,94492.74287726842,531.0,19.87897856772381,20.099044309296232,13.869419239233247,18.69661237827713,21.06134475717048,531.0,2767.832391713748,2716.0,259.6057173065169,2745.7010380185625,2789.963745408933,30.294103299237182,0.2103757173558137,1020.2941032992372,7.085375717355814,420.0,1856.5690476190475,1857.0,0.7862141835130462,1856.4936390643063,1856.6444561737885,77562.42633942026,420.0,24.587385710148528,22.903562119895696,10.747343162602029,23.55657040282827,25.618201017468785,420.0,3444.866666666667,3388.0,201.20109826024728,3425.5687649621773,3464.1645683711563,45.64817927133263,0.3170012449398099,1035.6481792713325,7.192001244939809,-0.10662552758399621,-0.10662552758399535
160,527.0,1543.136622390892,1542.0,2.134348453959603,1542.9539770652652,1543.3192677165189,103684.9217874828,527.0,20.531873117510223,21.03388357949609,14.014650059510537,19.3325795724874,21.731166662533045,527.0,2763.956356736243,2716.0,226.2605668234059,2744.594272336542,2783.318441135944,31.68348533391308,0.1980217833369567,1021.683485333913,6.385521783336957,419.0,1870.890214797136,1871.0,0.8110331892928845,1870.8123324532464,1870.9680971410253,85520.78509713575,419.0,25.665688650939625,23.37098175499568,10.942695082980848,24.614877472332985,26.716499829546265,419.0,3437.346062052506,3380.0,196.31802646308307,3418.4939259740504,3456.198198130962,48.01768575307285,0.3001105359567053,1038.0176857530728,6.487610535956705,-0.10208875261974859,-0.10208875261974804
