size,t_stat,p_one_tailed,significant_at_0.01
16,-11.817091272456572,1.0,False
32,-14.73904346012059,1.0,False
48,-12.936499602391219,1.0,False
64,-14.196510683731344,1.0,False
80,-13.133480293626246,1.0,False
96,-12.760215950177386,1.0,False
112,-12.96489370317601,1.0,False
128,-13.28612930424987,1.0,False
144,-11.47925587987742,1.0,False
160,-11.890334128256253,1.0,False
176,-12.192819666754012,1.0,False
192,-12.423393724422654,1.0,False
208,-11.723096686130866,1.0,False
224,-11.399126543685593,1.0,False
240,-12.315368340963161,1.0,False
256,-12.067280005734386,1.0,False
272,-11.972483772110362,1.0,False
288,-11.07365776283072,1.0,False
304,-11.52912342849453,1.0,False
320,-10.728668128595853,1.0,False
336,-9.250906894385402,1.0,False
352,4.641786524743374,1.9728958398743197e-06,True
368,4.076933432125265,2.4757152810909617e-05,True
384,4.891654731750731,5.89029082797611e-07,True
400,2.2835277661672584,0.01131310897821374,False
416,3.440410591831115,0.00030364352394404855,True
432,4.695028533191664,1.5201993473911485e-06,True
448,1.577743554997993,0.057485863717329166,False
464,3.7283884124115225,0.00010213351507671563,True
480,2.234470027707139,0.012835467006003127,False
496,3.05212801336753,0.001167858665193302,True
512,1.9313217944030787,0.02686395601501685,False
528,0.4185954886770503,0.33780512462232565,False
544,-0.17192853644563913,0.568233961952752,False
560,1.0184335113913559,0.15435937732209193,False
576,38.13575899390849,1.4287373502270114e-183,True
592,41.667785338838584,7.440085085942958e-213,True
608,41.3808047805786,1.4838597108564338e-204,True
624,37.09762002276198,1.2353982778863966e-178,True
640,37.16371471551049,1.4542676194037767e-176,True
656,36.86535001282514,2.4479408738228015e-175,True
672,29.584079558834794,3.036739745943435e-132,True
688,38.07369216840903,4.179003229316108e-185,True
704,35.36735422313598,3.069210165703642e-172,True
720,36.186310758609146,5.557499109092953e-171,True
736,34.41287408015452,1.3565476687437176e-161,True
752,34.383990861728115,1.0090169555575099e-160,True
768,30.90920449629037,2.978143874636766e-141,True
784,36.37339324603449,1.7851847449919492e-178,True
800,35.74799094307318,2.911230176525738e-168,True
816,34.78924917094811,2.5081268408665293e-163,True
832,32.128415369544555,5.6122615539384375e-148,True
848,37.57876943667394,9.365168049439454e-183,True
864,38.14610928006179,1.4359335970459268e-189,True
880,37.33479714862431,1.2408270360976645e-178,True
896,34.419870904736925,3.011238134419954e-161,True
912,36.320089532439944,1.3092514074306238e-172,True
928,36.69118627819771,5.135436506005828e-176,True
944,37.64586233889983,1.0925968186816742e-184,True
960,36.855444192108436,3.735676134221778e-177,True
976,37.06335390934605,2.9159033725222436e-183,True
992,37.64361445874594,5.197592972034077e-182,True
1008,36.726186389228715,1.0985958426545924e-174,True
1024,38.23463683676846,6.78847477531106e-184,True
1040,38.02320542072544,2.0051869497094586e-183,True
1056,40.242377935609845,9.899498319425015e-203,True
1072,35.908298870028375,4.1859098329766975e-171,True
1088,36.75710542396108,1.9893637402603598e-174,True
1104,36.374649338051505,6.434213545870515e-174,True
1120,37.2054520000992,1.2854817657827596e-178,True
1136,39.96850001339064,5.362283243651834e-200,True
1152,40.005553513984275,1.4144534447801683e-193,True
1168,37.921571789505485,1.95044834753677e-182,True
1184,28.487090831190425,1.4160534103508471e-123,True
1200,41.70745153270593,1.0224143947539502e-204,True
1216,37.83614482003626,8.491593176124311e-188,True
1232,39.17522510585035,7.133782096060791e-189,True
1248,39.80542339200716,3.36433924712924e-193,True
1264,38.559042683731064,5.679956563496331e-186,True
1280,40.0120702094086,5.4592352778985685e-195,True
1296,26.64474503709226,7.993967925998605e-112,True
1312,38.32585534206342,1.2575467179255532e-184,True
1328,40.797973596054504,7.730857440228842e-206,True
1344,38.03209787116639,5.122259657130241e-184,True
1360,41.33894784852711,2.4849570953376077e-204,True
1376,43.046644543349714,4.293063870754642e-211,True
1392,38.45077134295383,1.210188318591294e-184,True
1408,41.38527623109765,8.977924934447014e-208,True
1424,35.21978460570881,2.805001382206437e-166,True
1440,41.870431271805884,3.909232542371003e-211,True
1456,41.21054554118625,1.763698100690244e-202,True
1472,37.51375605353911,6.052872558466479e-181,True
1488,41.648127677304956,2.7955310244287015e-204,True
1504,41.75406366236688,1.7131219364827177e-204,True
1520,44.24021272302655,8.085910334978954e-223,True
1536,8.58446288774045,2.3214539939119303e-17,True
1552,7.846313036244651,6.667524214132589e-15,True
1568,8.600737187393875,1.884937966724236e-17,True
1584,7.096202331950364,1.4132991546637218e-12,True
1600,8.591572521841899,2.052703711709091e-17,True
