size,t_stat,p_one_tailed,significant_at_0.01
16,-3416.0579104043054,1.0,False
32,-3669.6416197633885,1.0,False
48,-3458.569198752436,1.0,False
64,-3548.8430827277803,1.0,False
80,-3679.5846341513434,1.0,False
96,-3199.8569276799176,1.0,False
112,-3271.9535350763013,1.0,False
128,-3016.71466202071,1.0,False
144,-3423.9074543855577,1.0,False
160,-3243.023540050893,1.0,False
176,-3299.6218032044926,1.0,False
192,-3204.3909612744515,1.0,False
208,-2861.543349514581,1.0,False
224,-3118.014219112171,1.0,False
240,-2700.331879729619,1.0,False
256,-3087.3324005620293,1.0,False
272,-3020.061386247461,1.0,False
288,-2647.8768616434904,1.0,False
304,-2893.5348209492454,1.0,False
320,-2643.7898131327483,1.0,False
336,-2794.017302415896,1.0,False
352,-2784.021652201004,1.0,False
368,-2831.864718650136,1.0,False
384,-2630.5240044890784,1.0,False
400,-2703.7553047696474,1.0,False
416,-2571.0334693516065,1.0,False
432,-2236.0852961895707,1.0,False
448,-2442.454762206793,1.0,False
464,-2399.7325026394865,1.0,False
480,-2219.2603601654005,1.0,False
496,-2316.628370130172,1.0,False
512,-2049.103739318726,1.0,False
528,-2225.2871130024096,1.0,False
544,-2282.3364095618954,1.0,False
560,-1850.7335804988502,1.0,False
576,-1979.1668959422723,1.0,False
592,-1755.2703706878212,1.0,False
608,-1875.9680166505489,1.0,False
624,-1835.3886372274567,1.0,False
640,-1722.5354612911829,1.0,False
656,-1731.1694166060993,1.0,False
672,-1514.4979364923674,1.0,False
688,-1657.4533775890766,1.0,False
704,-1515.7133602938788,1.0,False
720,-1509.1392775799345,1.0,False
736,-1527.420699573527,1.0,False
752,-1382.3031781437537,1.0,False
768,-1445.7402285102596,1.0,False
784,-1233.4997413406948,1.0,False
800,-1297.7685601929043,1.0,False
816,-1277.6682649371453,1.0,False
832,-1192.134751080994,1.0,False
848,-1222.7718904231558,1.0,False
864,-1043.5208646903213,1.0,False
880,-1144.2744074413665,1.0,False
896,-1058.3255128002147,1.0,False
912,-994.4531793114392,1.0,False
928,-966.3908527172725,1.0,False
944,-828.9780045890707,1.0,False
960,-886.0566555686373,1.0,False
976,-762.6932661811986,1.0,False
992,-817.6560950322428,1.0,False
1008,-709.7629382310708,1.0,False
1024,-689.096374471682,1.0,False
1040,-643.577549661493,1.0,False
1056,-549.6295697077811,1.0,False
1072,-554.6312987989526,1.0,False
1088,-489.45045956969176,1.0,False
1104,-469.43144873003024,1.0,False
1120,-424.95305953041003,1.0,False
1136,-324.7320724464774,1.0,False
1152,-325.31319548191465,1.0,False
1168,-265.8910988918277,1.0,False
1184,-232.96979732119448,1.0,False
1200,-198.95849011841344,1.0,False
1216,-126.33197199591156,1.0,False
1232,-99.96335190530058,1.0,False
1248,-50.01651078400489,1.0,False
1264,-9.674050709422058,1.0,False
1280,34.95549622938165,3.810330963525294e-140,True
1296,77.06135446718609,0.0,True
1312,123.02548391785201,0.0,True
1328,159.73525388308238,0.0,True
1344,222.40348345230805,0.0,True
1360,255.45408117771038,0.0,True
1376,293.36101039358067,0.0,True
1392,329.98864463972376,0.0,True
1408,377.6182742089873,0.0,True
1424,436.8967413539292,0.0,True
1440,461.4768512137192,0.0,True
1456,523.2081560696429,0.0,True
1472,576.5713671808919,0.0,True
1488,604.8627947011342,0.0,True
1504,632.0239905010374,0.0,True
1520,629.8491368092411,0.0,True
1536,771.0048745856539,0.0,True
1552,803.1160401036731,0.0,True
1568,776.0559241440802,0.0,True
1584,917.7664482860368,0.0,True
1600,837.5654568940457,0.0,True
